pId,status,charge,mass,pt,phi,eta,p,beta,gamma,less10Gev,foundNearTrack,ctau,ctau*boost,event,run,luminosityBlock,validHits,trackPt,trackPhi,trackEta
1000024,62,1,700.048,109.149,2.74254,3.07986,1189.79,0.8618809999999999,1.97195,0,0,167.75799999999998,98.705,10,1,1,0,0.0,0.0,0.0
-1000024,62,-1,700.048,134.275,-0.23446799999999998,-0.0228457,134.31,0.188422,1.01824,0,1,19.8977,103.71,10,1,1,4,52.1775,-0.235915,-0.022381
1000024,62,1,700.048,279.622,0.529638,-2.06105,1115.91,0.847108,1.88175,0,1,313.309,196.55,4,1,1,24,316.724,0.529605,-2.06089
-1000024,62,-1,700.048,249.40900000000002,-2.78605,-1.94363,888.797,0.7855850000000001,1.61615,0,1,366.324,288.53,4,1,1,25,260.098,-2.78599,-1.94395
-1000024,62,-1,700.048,283.369,0.710112,-1.12127,480.965,0.5662739999999999,1.21327,0,0,3.8699199999999996,5.6327,13,1,1,0,0.0,0.0,0.0
1000024,62,1,700.048,306.623,2.4554,1.49432,717.605,0.715809,1.43206,0,0,24.1888,23.596999999999998,8,1,1,0,0.0,0.0,0.0
-1000024,62,-1,700.048,116.069,-2.4659400000000002,2.64297,819.801,0.760465,1.53993,0,1,368.97900000000004,315.08,5,1,1,3,10.3527,-2.46109,2.6377099999999998
1000024,62,1,700.048,526.9159999999999,1.44564,-0.11146099999999999,530.192,0.603751,1.25443,0,1,189.75799999999998,250.55,2,1,1,18,541.625,1.44553,-0.111233
-1000024,62,-1,700.048,190.83700000000002,-1.79581,-0.163677,193.399,0.26629,1.03746,0,1,24.9152,90.186,15,1,1,3,26.3287,-1.79948,-0.164298
1000024,62,1,700.048,109.65299999999999,-0.260483,2.2308,516.178,0.593463,1.24245,0,1,167.149,226.69,6,1,1,14,162.555,-0.261119,2.23075
1000024,62,1,700.048,351.32,2.5853099999999998,-1.2979,691.172,0.702581,1.4052799999999999,0,1,126.35700000000001,127.98,1,1,1,10,341.235,2.58524,-1.29765
1000024,62,1,700.048,226.13299999999998,-2.2781700000000003,-0.056514800000000004,226.495,0.307831,1.05104,0,1,83.1632,257.04,7,1,1,17,236.808,-2.27828,-0.0565971
1000024,62,1,700.048,511.35,-2.73789,-1.0367899999999999,811.702,0.757269,1.53115,0,1,65.8442,56.787,9,1,1,8,540.1519999999999,-2.73798,-1.0368
1000024,62,1,700.048,563.717,2.7324,0.999811,869.735,0.779004,1.59485,0,1,120.41,96.91799999999999,16,1,1,15,579.332,2.7324200000000003,0.999885
-1000024,62,-1,700.048,596.138,-0.335986,1.4572100000000001,1349.31,0.8876459999999999,2.17143,0,1,707.9939999999999,367.32,16,1,1,17,600.133,-0.335904,1.45726
1000024,62,1,700.048,131.42700000000002,1.74868,-0.39108699999999996,141.607,0.198266,1.02025,0,1,11.9919,59.283,11,1,1,3,36.4662,1.7498799999999999,-0.391638
-1000024,62,-1,700.048,370.866,-1.60925,0.101035,372.76,0.470001,1.13293,0,1,45.4055,85.272,3,1,1,9,336.777,-1.60927,0.100856
1000024,62,1,700.048,290.867,-0.20010899999999998,0.6383489999999999,352.17,0.449403,1.11941,0,0,3.2155400000000003,6.3919,12,1,1,0,0.0,0.0,0.0
-1000024,62,-1,700.048,450.971,-0.631425,0.634066,544.703,0.614096,1.26706,0,1,50.5006,64.903,18,1,1,8,338.79400000000004,-0.6316390000000001,0.634311
1000024,62,1,700.048,1152.56,2.9053,0.08974069999999999,1157.21,0.85562,1.93198,0,1,46.9215,28.385,14,1,1,10,2796.94,2.90523,0.08898400000000001
-1000024,62,-1,700.048,994.735,-0.280408,1.02576,1565.59,0.9128940000000001,2.44979,0,1,497.711,222.55,14,1,1,16,968.301,-0.280398,1.02579
-1000024,62,-1,700.048,373.376,0.9043100000000001,1.42822,823.4780000000001,0.761898,1.54393,0,1,54.2882,46.151,21,1,1,5,183.71,0.9041290000000001,1.4280899999999999
-1000024,62,-1,700.048,384.094,-0.959332,-1.15114,667.955,0.6903279999999999,1.38218,0,1,104.23200000000001,109.24,17,1,1,9,467.673,-0.959252,-1.1510799999999999
1000024,62,1,700.048,203.16,-2.65407,2.57133,1336.75,0.8858739999999999,2.15551,0,0,11.4046,5.9725,24,1,1,0,0.0,0.0,0.0
1000024,62,1,700.048,338.845,-1.6670599999999998,1.794,1046.99,0.831297,1.79912,0,1,123.176,82.359,22,1,1,12,344.31199999999995,-1.66707,1.7940599999999998
1000024,62,1,700.048,446.874,-2.4659400000000002,-0.535666,512.534,0.590738,1.23937,0,1,40.9362,55.913000000000004,25,1,1,9,3579.06,-2.46635,-0.535522
1000024,62,1,700.048,464.444,-0.8821120000000001,1.46633,1059.88,0.834418,1.81445,0,1,100.307,66.253,19,1,1,10,792.904,-0.8823219999999999,1.4663700000000002
1000024,62,1,700.048,403.17400000000004,-0.23369600000000001,2.48635,2439.32,0.961201,3.6251599999999997,0,0,48.1455,13.817,20,1,1,0,0.0,0.0,0.0
