,mass,charge,p,pdgId,status,pt,eta,phi,beta,gamma,event,run,luminosityBlock,foundTrack,trackCharge,trackPt,trackPhi,trackEta,validHits,missingInnerHits,trackHits,missingOuterHits,validLayers,hpmissingOuterHits
0,700.048,1,1189.79,1000024,62,109.149,3.07986,2.74254,0.8618809999999999,1.97195,10,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
1,700.048,-1,134.31,-1000024,62,134.275,-0.0228457,-0.23446799999999998,0.188422,1.01824,10,1,1,1,-1,52.1775,-0.235915,-0.022381,4,1,0,2,4,9
2,700.048,1,717.605,1000024,62,306.623,1.49432,2.4554,0.715809,1.43206,8,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
3,700.048,1,530.192,1000024,62,526.9159999999999,-0.11146099999999999,1.44564,0.603751,1.25443,2,1,1,1,1,541.625,1.44553,-0.111233,18,1,0,2,14,0
4,700.048,-1,480.965,-1000024,62,283.369,-1.12127,0.710112,0.5662739999999999,1.21327,13,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
5,700.048,-1,819.801,-1000024,62,116.069,2.64297,-2.4659400000000002,0.760465,1.53993,5,1,1,1,1,10.3527,-2.46109,2.6377099999999998,3,1,0,2,3,0
6,700.048,1,1115.91,1000024,62,279.622,-2.06105,0.529638,0.847108,1.88175,4,1,1,1,1,316.724,0.529605,-2.06089,24,1,0,2,15,0
7,700.048,-1,888.797,-1000024,62,249.40900000000002,-1.94363,-2.78605,0.7855850000000001,1.61615,4,1,1,1,-1,260.098,-2.78599,-1.94395,25,1,0,2,16,0
8,700.048,1,516.178,1000024,62,109.65299999999999,2.2308,-0.260483,0.593463,1.24245,6,1,1,1,1,162.555,-0.261119,2.23075,14,1,0,2,7,6
9,700.048,-1,193.399,-1000024,62,190.83700000000002,-0.163677,-1.79581,0.26629,1.03746,15,1,1,1,-1,26.3287,-1.79948,-0.164298,3,1,0,2,3,3
10,700.048,1,811.702,1000024,62,511.35,-1.0367899999999999,-2.73789,0.757269,1.53115,9,1,1,1,1,540.1519999999999,-2.73798,-1.0368,8,1,0,2,6,6
11,700.048,1,691.172,1000024,62,351.32,-1.2979,2.5853099999999998,0.702581,1.4052799999999999,1,1,1,1,1,341.235,2.58524,-1.29765,10,1,0,2,7,4
12,700.048,1,226.495,1000024,62,226.13299999999998,-0.056514800000000004,-2.2781700000000003,0.307831,1.05104,7,1,1,1,1,236.808,-2.27828,-0.0565971,17,1,0,2,11,3
13,700.048,1,141.607,1000024,62,131.42700000000002,-0.39108699999999996,1.74868,0.198266,1.02025,11,1,1,1,1,36.4662,1.7498799999999999,-0.391638,3,1,0,2,3,6
14,700.048,1,352.17,1000024,62,290.867,0.6383489999999999,-0.20010899999999998,0.449403,1.11941,12,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
15,700.048,-1,372.76,-1000024,62,370.866,0.101035,-1.60925,0.470001,1.13293,3,1,1,1,-1,336.777,-1.60927,0.100856,9,1,0,2,7,7
16,700.048,1,869.735,1000024,62,563.717,0.999811,2.7324,0.779004,1.59485,16,1,1,1,1,579.332,2.7324200000000003,0.999885,15,1,0,2,11,1
17,700.048,-1,1349.31,-1000024,62,596.138,1.4572100000000001,-0.335986,0.8876459999999999,2.17143,16,1,1,1,-1,600.133,-0.335904,1.45726,17,1,0,2,14,0
18,700.048,1,1157.21,1000024,62,1152.56,0.08974069999999999,2.9053,0.85562,1.93198,14,1,1,1,1,2796.94,2.90523,0.08898400000000001,10,1,0,2,7,7
19,700.048,-1,1565.59,-1000024,62,994.735,1.02576,-0.280408,0.9128940000000001,2.44979,14,1,1,1,-1,968.301,-0.280398,1.02579,16,1,0,2,12,0
